scenario_name,agent_id,strategy,final_score,final_q_values_avg,full_q_values
Hysteretic_QL_Enhanced,0,hysteretic_q,239.7241379310359,"{'avg_cooperate': 1.5953198293258304, 'avg_defect': 1.4681770330672714}","{'initial': {'cooperate': 0.05172413793103449, 'defect': 0.0}, (1.0,): {'cooperate': 1.9948956963570588, 'defect': 0.7523667105550575}, (0.8,): {'cooperate': 3.164242635936836, 'defect': 2.599047313579436}, (0.6,): {'cooperate': 2.878596343605792, 'defect': 4.88637568428091}, (0.2,): {'cooperate': 0.4532617400268506, 'defect': 0.17247571893398264}, (0.4,): {'cooperate': 1.0291984220974113, 'defect': 0.3987967710542416}}"
Hysteretic_QL_Enhanced,1,hysteretic_q,432.06896551724134,"{'avg_cooperate': 2.663624194674999, 'avg_defect': 3.6527366063115863}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (1.0,): {'cooperate': 8.093814558785498, 'defect': 12.606235017125726}, (0.8,): {'cooperate': 2.213236144962788, 'defect': 1.3402554342630468}, (0.4,): {'cooperate': 0.3164115921930877, 'defect': 0.6644559738575728}}"
Hysteretic_QL_Enhanced,2,hysteretic_q,168.0000000000003,"{'avg_cooperate': 1.2583315020282926, 'avg_defect': 0.6960294245157223}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (1.0,): {'cooperate': 2.082227241489562, 'defect': 1.2174382921833848}, (0.8,): {'cooperate': 2.579249451632169, 'defect': 1.7341227047948076}, (0.6,): {'cooperate': 2.143318218594278, 'defect': 0.92598514435666}, (0.4,): {'cooperate': 0.6831251349365054, 'defect': 0.2986304057594815}, (0.2,): {'cooperate': 0.020689655172413793, 'defect': 0.0}}"
Hysteretic_QL_Enhanced,3,hysteretic_q,236.82758620689685,"{'avg_cooperate': 1.139547510167676, 'avg_defect': 2.4132197307755625}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (1.0,): {'cooperate': 1.921554107472339, 'defect': 1.2347969425681171}, (0.8,): {'cooperate': 1.8402360900553774, 'defect': 1.5577978210723005}, (0.4,): {'cooperate': 1.8539097671037674, 'defect': 7.793053490365106}, (0.2,): {'cooperate': 0.05100310344827587, 'defect': 1.4804503998722902}}"
Hysteretic_QL_Enhanced,4,hysteretic_q,373.3448275862079,"{'avg_cooperate': 1.9657255308003845, 'avg_defect': 3.116414309326875}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (1.0,): {'cooperate': 2.8344399701707306, 'defect': 3.219509324870832}, (0.8,): {'cooperate': 4.517984109546493, 'defect': 11.555354522492085}, (0.6,): {'cooperate': 1.8958876530239064, 'defect': 0.8072076992714576}, (0.4,): {'cooperate': 0.5389366109159643, 'defect': 0.0}}"
Hysteretic_QL_Enhanced,5,hysteretic_q,381.4137931034484,"{'avg_cooperate': 1.9688404869221452, 'avg_defect': 2.7148030114223634}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1.0,): {'cooperate': 3.3879322874855773, 'defect': 2.3866492858341495}, (0.6,): {'cooperate': 2.5641931512706733, 'defect': 1.7181840220983247}, (0.8,): {'cooperate': 4.018283710327392, 'defect': 11.470235594555811}, (0.4,): {'cooperate': 1.242309954077641, 'defect': 0.7137491660458941}, (0.2,): {'cooperate': 0.538254852854346, 'defect': 0.0}}"
Hysteretic_QL_Enhanced,6,hysteretic_q,521.2758620689649,"{'avg_cooperate': 1.6797333055131307, 'avg_defect': 3.9204971876679813}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (1.0,): {'cooperate': 0.10190790000000002, 'defect': 0.8887789879188911}, (0.8,): {'cooperate': 3.985753313327184, 'defect': 10.545819707081467}, (0.6,): {'cooperate': 4.6297596638720595, 'defect': 11.068497022057418}, (0.4,): {'cooperate': 1.1214892005647044, 'defect': 0.8769400579981781}, (0.2,): {'cooperate': 0.19811044497000768, 'defect': 0.14294735095193387}}"
Hysteretic_QL_Enhanced,7,hysteretic_q,585.2068965517225,"{'avg_cooperate': 1.565920557383739, 'avg_defect': 5.281299834840313}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (1.0,): {'cooperate': 0.6704545528909316, 'defect': 4.8788325399884584}, (0.8,): {'cooperate': 5.875393422292433, 'defect': 11.36549605325759}, (0.4,): {'cooperate': 1.083037884455499, 'defect': 10.162170580955515}, (0.2,): {'cooperate': 0.16968244452121015, 'defect': 0.0}}"
Hysteretic_QL_Enhanced,8,hysteretic_q,352.8620689655174,"{'avg_cooperate': 1.5657313773153547, 'avg_defect': 2.630907464774258}","{'initial': {'cooperate': 0.062068965517241385, 'defect': 0.0}, (1.0,): {'cooperate': 0.23259233269904855, 'defect': 1.9521753441656735}, (0.8,): {'cooperate': 1.507613924337517, 'defect': 0.4852440218525421}, (0.6,): {'cooperate': 2.295035839584221, 'defect': 2.2251072832555843}, (0.4,): {'cooperate': 4.497424230518654, 'defect': 10.81660255733176}, (0.2,): {'cooperate': 0.799652971235446, 'defect': 0.306315582039988}}"
Hysteretic_QL_Enhanced,9,hysteretic_q,185.3103448275856,"{'avg_cooperate': 0.9440931947712591, 'avg_defect': 1.5121865375466337}","{'initial': {'cooperate': 0.05172413793103449, 'defect': 0.0}, (1.0,): {'cooperate': 0.09207310344827586, 'defect': 0.5651313527216966}, (0.8,): {'cooperate': 0.608790558990886, 'defect': 4.297551221991635}, (0.6,): {'cooperate': 1.8626329793406322, 'defect': 1.649675179019908}, (0.4,): {'cooperate': 1.7944924783804974, 'defect': 1.6729000126089522}, (0.2,): {'cooperate': 1.2548459105362282, 'defect': 0.887861458937611}}"
Hysteretic_QL_Enhanced,10,hysteretic_q,413.8965517241371,"{'avg_cooperate': 1.6582118060895514, 'avg_defect': 4.49317745604606}","{'initial': {'cooperate': 0.031034482758620693, 'defect': 0.0}, (1.0,): {'cooperate': 1.1933733695496997, 'defect': 0.43772023764587076}, (0.8,): {'cooperate': 4.3573630060774775, 'defect': 9.058988465048992}, (0.4,): {'cooperate': 2.2312854225505703, 'defect': 8.300764449703342}, (0.2,): {'cooperate': 0.47800274951138827, 'defect': 4.668414127832094}}"
Hysteretic_QL_Enhanced,11,hysteretic_q,613.4137931034468,"{'avg_cooperate': 1.9714303175055419, 'avg_defect': 4.99368396545695}","{'initial': {'cooperate': 0.05172413793103449, 'defect': 0.0}, (1.0,): {'cooperate': 2.405823921658711, 'defect': 1.0126476951411338}, (0.8,): {'cooperate': 5.473773101905594, 'defect': 12.520561064240319}, (0.6,): {'cooperate': 3.416406122465059, 'defect': 11.254020934143428}, (0.4,): {'cooperate': 0.3687032831418181, 'defect': 4.8971917598347545}, (0.2,): {'cooperate': 0.1121513379310345, 'defect': 0.277682339382069}}"
Hysteretic_QL_Enhanced,12,hysteretic_q,351.10344827586295,"{'avg_cooperate': 2.011640581216039, 'avg_defect': 2.440778260080459}","{'initial': {'cooperate': 0.05172413793103449, 'defect': 0.0}, (1.0,): {'cooperate': 3.0064969494519254, 'defect': 1.3959450538498}, (0.8,): {'cooperate': 2.8138039576214213, 'defect': 1.8829487126470035}, (0.4,): {'cooperate': 1.2705685553648807, 'defect': 0.78348778106648}, (0.6,): {'cooperate': 4.445760211863366, 'defect': 10.410666680845821}, (0.2,): {'cooperate': 0.4814896750636063, 'defect': 0.17162133207364605}}"
Hysteretic_QL_Enhanced,13,hysteretic_q,223.86206896551798,"{'avg_cooperate': 1.5392363032031318, 'avg_defect': 1.4398676285283176}","{'initial': {'cooperate': 0.05172413793103449, 'defect': 0.0}, (1.0,): {'cooperate': 2.0625038587807993, 'defect': 0.5163111277157326}, (0.8,): {'cooperate': 2.6855088258571223, 'defect': 2.2090847026022558}, (0.6,): {'cooperate': 2.48650459704831, 'defect': 2.006008649935441}, (0.4,): {'cooperate': 1.670253643312509, 'defect': 0.804503956192423}, (0.2,): {'cooperate': 0.2789227562890151, 'defect': 3.1032973347240524}}"
Hysteretic_QL_Enhanced,14,hysteretic_q,228.3103448275867,"{'avg_cooperate': 1.1567312628185007, 'avg_defect': 1.6432001421589948}","{'initial': {'cooperate': 0.041379310344827586, 'defect': 0.0}, (1.0,): {'cooperate': 1.1764386242634168, 'defect': 0.5776913446979962}, (0.8,): {'cooperate': 2.8420815001556194, 'defect': 7.362608811587341}, (0.6,): {'cooperate': 2.154544849623994, 'defect': 1.7527610091687285}, (0.4,): {'cooperate': 0.6950122580403885, 'defect': 0.16613968749990363}, (0.2,): {'cooperate': 0.03093103448275862, 'defect': 0.0}}"
Hysteretic_QL_Enhanced,15,tit_for_tat,203.58620689655234,,
Hysteretic_QL_Enhanced,16,tit_for_tat,280.655172413794,,
Hysteretic_QL_Enhanced,17,tit_for_tat,246.86206896551846,,
Hysteretic_QL_Enhanced,18,tit_for_tat,269.68965517241486,,
Hysteretic_QL_Enhanced,19,tit_for_tat,375.55172413793144,,
Hysteretic_QL_Enhanced,20,tit_for_tat,303.6551724137942,,
Hysteretic_QL_Enhanced,21,tit_for_tat,347.275862068966,,
Hysteretic_QL_Enhanced,22,tit_for_tat,330.1034482758629,,
Hysteretic_QL_Enhanced,23,tit_for_tat,251.51724137931117,,
Hysteretic_QL_Enhanced,24,tit_for_tat,166.10344827586164,,
Hysteretic_QL_Enhanced,25,tit_for_tat,211.758620689655,,
Hysteretic_QL_Enhanced,26,tit_for_tat,229.1724137931042,,
Hysteretic_QL_Enhanced,27,tit_for_tat,289.82758620689737,,
Hysteretic_QL_Enhanced,28,tit_for_tat,230.27586206896618,,
Hysteretic_QL_Enhanced,29,tit_for_tat,263.96551724137925,,
