scenario_name,agent_id,strategy,final_score,final_q_values,full_q_values
SmallWorld_STFT_vs_QL,0,q_learning,465.1538461538471,"{'avg_cooperate': 3.1850610688720735, 'avg_defect': 4.338232398896775}","{'initial': {'cooperate': 0.046153846153846156, 'defect': 0.0}, (0.6,): {'cooperate': 2.088497472736548, 'defect': 5.102795297678365}, (0.2,): {'cooperate': 9.768762610526565, 'defect': 10.753573244978192}, (0.8,): {'cooperate': 0.12032615384615386, 'defect': 1.0355706024103388}, (0.4,): {'cooperate': 7.041087868430863, 'defect': 9.137455248313753}, (1.0,): {'cooperate': 0.04553846153846154, 'defect': 0.0}}"
SmallWorld_STFT_vs_QL,1,q_learning,444.15384615384727,"{'avg_cooperate': 3.485377647231246, 'avg_defect': 4.593783304836756}","{'initial': {'cooperate': 0.07692307692307693, 'defect': 0.0}, (1.0,): {'cooperate': 0.16377796923076926, 'defect': 0.4856083824902564}, (0.8,): {'cooperate': 0.6351857465265615, 'defect': 2.622659692936365}, (0.6,): {'cooperate': 2.939770272302438, 'defect': 4.753533556361408}, (0.4,): {'cooperate': 7.190855411401909, 'defect': 8.81219290700754}, (0.2,): {'cooperate': 9.90575340700272, 'defect': 10.888705290224971}}"
SmallWorld_STFT_vs_QL,2,q_learning,444.58974358974416,"{'avg_cooperate': 4.120785533437104, 'avg_defect': 5.871516020442829}","{'initial': {'cooperate': 0.046153846153846156, 'defect': 0.0}, (0.8,): {'cooperate': 1.7519102113751717, 'defect': 4.3526068480935445}, (1.0,): {'cooperate': 0.3409366910267077, 'defect': 2.6150224257823163}, (0.6,): {'cooperate': 4.760890580827697, 'defect': 8.023183551280148}, (0.4,): {'cooperate': 8.800258501682292, 'defect': 10.058747645197386}, (0.2,): {'cooperate': 9.024563369556908, 'defect': 10.179535652303581}}"
SmallWorld_STFT_vs_QL,3,q_learning,449.4102564102572,"{'avg_cooperate': 3.202151838047619, 'avg_defect': 4.725642254608142}","{'initial': {'cooperate': 0.06153846153846154, 'defect': 0.0}, (0.8,): {'cooperate': 0.7409356617245306, 'defect': 3.36390940880745}, (0.6,): {'cooperate': 2.6834452141704968, 'defect': 5.212245873302841}, (1.0,): {'cooperate': 0.0, 'defect': 0.8084205128205129}, (0.4,): {'cooperate': 5.930868603668346, 'defect': 8.30318974492005}, (0.2,): {'cooperate': 9.79612308718388, 'defect': 10.666087987798}}"
SmallWorld_STFT_vs_QL,4,q_learning,439.6666666666677,"{'avg_cooperate': 2.790110855433189, 'avg_defect': 4.975242875211177}","{'initial': {'cooperate': 0.07692307692307693, 'defect': 0.0}, (1.0,): {'cooperate': 0.5476078704166611, 'defect': 1.5825490236823054}, (0.8,): {'cooperate': 0.6737665453201758, 'defect': 2.213480645642645}, (0.6,): {'cooperate': 1.125049362382874, 'defect': 5.951576785105447}, (0.4,): {'cooperate': 4.523262039650064, 'defect': 9.098313349542916}, (0.2,): {'cooperate': 9.79405623790628, 'defect': 11.00553744729375}}"
SmallWorld_STFT_vs_QL,5,q_learning,427.8717948717959,"{'avg_cooperate': 3.7950787177789045, 'avg_defect': 4.762106970271508}","{'initial': {'cooperate': 0.046153846153846156, 'defect': 0.0}, (0.6,): {'cooperate': 6.123401677496211, 'defect': 8.424120849548695}, (1.0,): {'cooperate': 0.59948222832941, 'defect': 0.0}, (0.8,): {'cooperate': 0.6017031538373894, 'defect': 0.3686016547575923}, (0.4,): {'cooperate': 5.5935749173329254, 'defect': 8.798148576847648}, (0.2,): {'cooperate': 9.806156483523644, 'defect': 10.981770740475115}}"
SmallWorld_STFT_vs_QL,6,q_learning,443.97435897435963,"{'avg_cooperate': 3.516413779007079, 'avg_defect': 5.528396533673003}","{'initial': {'cooperate': 0.06153846153846154, 'defect': 0.0}, (0.8,): {'cooperate': 1.7953590464836984, 'defect': 5.672119738648965}, (1.0,): {'cooperate': 0.8753960516872217, 'defect': 1.7177615763851248}, (0.6,): {'cooperate': 3.9893025665046835, 'defect': 6.189424488932369}, (0.2,): {'cooperate': 9.672873553049586, 'defect': 10.771557821363395}, (0.4,): {'cooperate': 4.70401299477882, 'defect': 8.81951557670817}}"
SmallWorld_STFT_vs_QL,7,q_learning,434.2307692307695,"{'avg_cooperate': 2.595539153212938, 'avg_defect': 3.9634807447586398}","{'initial': {'cooperate': 0.07692307692307693, 'defect': 0.0}, (1.0,): {'cooperate': 0.18064000000000002, 'defect': 0.2940536615384616}, (0.8,): {'cooperate': 0.49623258864485725, 'defect': 0.5362039333322969}, (0.6,): {'cooperate': 2.4248495133989754, 'defect': 5.86212042465964}, (0.4,): {'cooperate': 2.711217159137755, 'defect': 6.392509573132304}, (0.2,): {'cooperate': 9.683372581172963, 'defect': 10.695996875889135}}"
SmallWorld_STFT_vs_QL,8,q_learning,447.99999999999994,"{'avg_cooperate': 2.5388738567813003, 'avg_defect': 3.9244749000179837}","{'initial': {'cooperate': 0.06153846153846154, 'defect': 0.0}, (0.8,): {'cooperate': 0.06153846153846154, 'defect': 2.292104562543161}, (0.6,): {'cooperate': 0.7311378273865589, 'defect': 3.2299808608027076}, (1.0,): {'cooperate': 0.046153846153846156, 'defect': 0.0}, (0.2,): {'cooperate': 9.707673519578783, 'defect': 10.666306396316722}, (0.4,): {'cooperate': 4.62520102449169, 'defect': 7.358457580445312}}"
SmallWorld_STFT_vs_QL,9,q_learning,477.6153846153857,"{'avg_cooperate': 3.3923020602874927, 'avg_defect': 5.365805823565371}","{'initial': {'cooperate': 0.1076923076923077, 'defect': 0.0}, (1.0,): {'cooperate': 0.42102285755076935, 'defect': 0.37141759445333333}, (0.6,): {'cooperate': 3.315691109049907, 'defect': 8.41700855682834}, (0.8,): {'cooperate': 0.12123076923076925, 'defect': 2.6700462085364864}, (0.4,): {'cooperate': 6.476701760331961, 'defect': 9.6094437669678}, (0.2,): {'cooperate': 9.91147355786924, 'defect': 11.126918814606274}}"
